"","name","date","sentiment.value"
"1","Donald Trump","November 05, 2020",0.764705882352941
"2","October 26, 2020","President Trump presides over the swearing-in ceremony for Justice Amy Coney Barrett as she becomes an associate justice of the US Supreme Court. She is only the fifth woman to become a Supreme Court justice. Barrett's nomination and confirmation was controversial as Republicans in 2016 refused to consider President Obama's nomination to the Supreme Court after Justice Antonin Scalia died in February, claiming it was too close the November presidential election. But when Justice Ruth Bader Ginsberg died in September, the Republicans pushed through her confirmation, and President Trump swore her in just a week before the 2020 presidential election. ",2.59375
"3","Donald Trump","September 26, 2020",2.93055555555556
"4","Donald Trump","September 07, 2020",-0.182857142857143
"5","Donald Trump","August 08, 2020",-0.233009708737864
"6","Donald Trump","July 04, 2020",1.81739130434783
"7","Donald Trump","June 20, 2020",-0.307359307359307
"8","Donald Trump","June 13, 2020",1.06666666666667
"9","Donald Trump","June 01, 2020",-0.971014492753623
"10","Donald Trump","April 23, 2020",1.2360248447205
"11","Donald Trump","April 15, 2020",1.12121212121212
"12","Donald Trump","April 13, 2020",0.607758620689655
"13","George Washington","September 19, 1796",1.02272727272727
"14","George Washington","April 30, 1789",1.31944444444444
"15","George Washington","April 22, 1793",0.666666666666667
"16","George Washington","August 29, 1796",2.6530612244898
"17","John Adams","December 19, 1799",0.193548387096774
"18","John Adams","March 04, 1797",1.52272727272727
"19","John Adams","March 23, 1798",1.66666666666667
"20","John Adams","May 21, 1800",-0.266666666666667
"21","Thomas Jefferson","March 04, 1801",1.05555555555556
"22","Thomas Jefferson","June 20, 1803",0.423076923076923
"23","Thomas Jefferson","December 06, 1805",-0.181818181818182
"24","James Madison","March 04, 1809",1.20634920634921
"25","James Madison","June 01, 1812",-0.229357798165138
"26","James Madison","January 30, 1815",0.268292682926829
"27","James Monroe","March 04, 1817",1.43076923076923
"28","James Monroe","March 05, 1821",0.928571428571429
"29","James Monroe","December 02, 1823",0.91304347826087
"30","John Quincy Adams","March 04, 1825",1.21495327102804
"31","John Quincy Adams","December 06, 1825",1.57692307692308
"32","John Quincy Adams","February 05, 1827",0.348837209302326
"33","Andrew Jackson","February 15, 1832",0.95
"34","Andrew Jackson","July 10, 1832",1.15789473684211
"35","Andrew Jackson","January 16, 1833",0.227488151658768
"36","Martin Van Buren","March 04, 1837",0.773809523809524
"37","Martin Van Buren","December 05, 1837",1.10502283105023
"38","Martin Van Buren","November 21, 1838",0.269230769230769
"39","Martin Van Buren","February 16, 1839",-0.245283018867925
"40","William Harrison","March 04, 1841",0.844036697247706
"41","John Tyler","April 09, 1841",0.492957746478873
"42","John Tyler","December 07, 1841",0.580808080808081
"43","October 26, 2020","President Trump presides over the swearing-in ceremony for Justice Amy Coney Barrett as she becomes an associate justice of the US Supreme Court. She is only the fifth woman to become a Supreme Court justice. Barrett's nomination and confirmation was controversial as Republicans in 2016 refused to consider President Obama's nomination to the Supreme Court after Justice Antonin Scalia died in February, claiming it was too close the November presidential election. But when Justice Ruth Bader Ginsberg died in September, the Republicans pushed through her confirmation, and President Trump swore her in just a week before the 2020 presidential election. ",2.59375
"44","Donald Trump","September 26, 2020",2.93055555555556
"45","Donald Trump","September 07, 2020",-0.182857142857143
"46","Donald Trump","August 08, 2020",-0.233009708737864
"47","Donald Trump","July 04, 2020",1.81739130434783
"48","Donald Trump","June 20, 2020",-0.307359307359307
"49","Donald Trump","June 13, 2020",1.06666666666667
"50","Donald Trump","June 01, 2020",-0.971014492753623
"51","Donald Trump","April 23, 2020",1.2360248447205
"52","Donald Trump","April 15, 2020",1.12121212121212
